ENA_sample_accession	ENA_sample_name	StrainID	NTM#
ERS742616 	Mabs_NIPH1	437652	2
ERS742617 	Mabs_NIPH2	460932	4
ERS742618 	Mabs_NIPH3	460343	5
ERS742619 	Mabs_NIPH4	446212	8
ERS742620 	Mabs_NIPH5	430080	17
ERS742621 	Mabs_NIPH6	428963	18
ERS742622 	Mabs_NIPH7	429394	20
ERS742623 	Mabs_NIPH8	424851	22
ERS742624 	Mabs_NIPH9	432730	35
ERS742625 	Mabs_NIPH10	439334	36
ERS742626 	Mabs_NIPH11	40218	39
ERS742627 	Mabs_NIPH12	44152	41
ERS742628 	Mabs_NIPH13	30021	44
ERS742629 	Mabs_NIPH14	33277	45
ERS742630 	Mabs_NIPH15	26241	48
ERS742631 	Mabs_NIPH16	15605	51
ERS742632 	Mabs_NIPH17	16845	52
ERS742633 	Mabs_NIPH18	17191	53
ERS742634 	Mabs_NIPH19	11970	57
ERS742635 	Mabs_NIPH20	11287	58
ERS742636 	Mabs_NIPH21	11392	61
ERS742637 	Mabs_NIPH22	11211	65
ERS742638 	Mabs_NIPH23	10554	66
ERS742639 	Mabs_NIPH24	10553	67
ERS742640 	Mabs_NIPH25	10013	68
ERS742641 	Mabs_NIPH26	10836	69
ERS742642 	Mabs_NIPH27	10293	70
ERS742643 	Mabs_NIPH28	438023	15
ERS742644 	Mabs_NIPH29	51566	33
ERS742645 	Mabs_NIPH30	21045	46
ERS742646 	Mabs_NIPH31	29406	47
ERS742725	Mche_NIP1	462232	1
ERS742726	Mche_NIP2	457421	3
ERS742727	Mche_NIP3	456298	10
ERS742728	Mche_NIP4	443414	11
ERS742729	Mche_NIP5	438280	13
ERS742730	Mche_NIP6	426332	16
ERS742731	Mche_NIP7	427847	19
ERS742732	Mche_NIP8	75007	32
ERS742733	Mche_NIP9	30032	34
ERS742734	Mche_NIP10	17678	49
ERS742735	Mche_NIP11	13277	56
ERS742647 	Mabs_NIPH32	456609	6
ERS742648 	Mabs_NIPH33	457148	7
ERS742649 	Mabs_NIPH34	450357	9
ERS742650 	Mabs_NIPH35	446089	12
ERS742651 	Mabs_NIPH36	437913	14
ERS742652 	Mabs_NIPH37	430711	23
ERS742653 	Mabs_NIPH38	430492	24
ERS742654 	Mabs_NIPH39	427849	25
ERS742655 	Mabs_NIPH40	414648	26
ERS742656 	Mabs_NIPH41	422805	27
ERS742657 	Mabs_NIPH42	420216	30
ERS742658 	Mabs_NIPH43	416298	31
ERS742659 	Mabs_NIPH44	40677	42
ERS742660 	Mabs_NIPH45	40216	43
ERS742661 	Mabs_NIPH46	17687	50
ERS742662 	Mabs_NIPH47	13439	55
ERS742663 	Mabs_NIPH48	12376	59
ERS742664 	Mabs_NIPH49	12406	60
ERS742665 	Mabs_NIPH50	10146	62
ERS742666 	Mabs_NIPH51	11210	63
ERS742667 	Mabs_NIPH52	10535	64
